Kedelai,,,,,,,,,,,,,,,,,,,,,,,,,,
Negara,Januari,,Februari,,Maret,,April,,Mei,,Juni,,Juli,,Agustus,,September,,Oktober,,November,,Desember,,Total,
,Volume (Kg),Nilai (US$),Volume (Kg),Nilai (US$),Volume (Kg),Nilai (US$),Volume (Kg),Nilai (US$),Volume (Kg),Nilai (US$),Volume (Kg),Nilai (US$),Volume (Kg),Nilai (US$),Volume (Kg),Nilai (US$),Volume (Kg),Nilai (US$),Volume (Kg),Nilai (US$),Volume (Kg),Nilai (US$),Volume (Kg),Nilai (US$),Volume (Kg),Nilai (US$)
JAPAN,1,3,500,"1,473.02","1,000.00","3,006.08",0,0,0,0,0,0,0,0,"2,000.00","6,066.82",0,0,0,0,0,0,"2,505.00","7,822.92","6,006.00","18,371.84"
"KOREA, REPUBLIC OF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,38,4,38
TAIWAN,0,0,0,0,0,0,0,0,1,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,44
CHINA,0,0,4,99,0,0,0,0,0,0,1,34,0,0,0,0,0,0,0,0,4,35,0,0,9,168
THAILAND,0,0,0,0,1,5,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,2,12
SINGAPORE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,59,1,59
MALAYSIA,"375,000.00","202,241.85","650,000.00","399,538.30","625,000.00","354,283.45","500,000.00","241,011.86","700,000.00","287,320.93","300,000.00","179,569.51","625,000.00","327,544.00","500,000.00","248,803.26","345,010.00","181,518.94","300,001.00","171,246.75","91,500.00","35,263.60","619,000.00","348,019.00","5,630,511.00","2,976,361.45"
VIET NAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,0,0,0,0,1,17
INDIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19,1,19
ETHIOPIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,90,0,0,0,0,0,0,0,0,1,90
SOUTH AFRICA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"101,820.00","48,580.36","101,820.00","48,580.36"
AUSTRALIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,0,0,0,0,0,1,11
NAURU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"522,262.00","240,141.29",0,0,0,0,0,0,"522,262.00","240,141.29"
U.S MINOR OUTLYING ISLAND,0,0,0,0,0,0,"154,875.00","64,517.83","49,995.00","22,521.75",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"204,870.00","87,039.58"
UNITED STATES,"244,011,619.00","113,388,093.85","251,974,054.00","117,372,812.29","90,462,436.00","40,807,195.55","189,544,031.00","89,200,799.23","123,774,245.00","56,447,486.80","192,658,892.00","87,858,203.62","184,077,387.00","86,141,368.31","177,074,094.00","83,615,006.15","182,396,449.00","85,512,412.12","188,056,080.00","87,374,527.30","152,267,473.00","70,896,435.89","237,841,270.00","111,597,435.18","2,214,138,030.00","1,030,211,776.29"
CANADA,"16,636,146.00","7,615,748.90","24,435,487.00","10,927,284.91","19,841,236.00","8,936,097.17","15,365,411.00","7,091,943.83","27,076,171.00","12,550,115.68","27,978,293.00","12,843,172.64","34,091,164.00","15,587,389.88","24,017,358.00","11,276,218.42","47,301,498.00","21,808,085.30","17,713,701.00","8,195,643.05","26,682,573.00","12,253,178.00","9,277,182.00","4,310,938.50","290,416,220.00","133,395,816.28"
BRAZIL,0,0,0,0,0,0,0,0,"20,525,230.00","8,486,977.35","472,000.00","201,416.56",0,0,0,0,0,0,0,0,0,0,0,0,"20,997,230.00","8,688,393.91"
BOLIVIA,0,0,"1,781,062.00","778,843.93","1,732,320.00","734,596.47","28,800.00","12,311.71",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"750,110.00","329,793.45","4,292,292.00","1,855,545.56"
URUGUAY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"21,429,025.00","9,412,405.10",0,0,0,0,0,0,0,0,"21,429,025.00","9,412,405.10"
UNITED KINGDOM,1,14,0,0,0,0,0,0,"468,979.00","215,228.53",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"468,980.00","215,242.53"
Total,"261,022,767.00","121,206,101.60","278,841,107.00","129,480,051.45","112,661,993.00","50,835,183.72","205,593,117.00","96,610,584.46","172,594,621.00","78,009,695.04","221,409,186.00","101,082,396.33","218,793,551.00","102,056,302.19","223,022,480.00","104,558,607.75","230,565,219.00","107,742,157.65","206,069,783.00","95,741,434.10","179,041,550.00","83,184,912.49","248,591,893.00","116,642,705.41","2,558,207,267.00","1,187,150,132.19"
