Kedelai ,,,,,,,,,,,,,,,,,,,,,,,,,,
Pelabuhan,Januari,,Februari,,Maret,,April,,Mei,,Juni,,Juli,,Agustus,,September,,Oktober,,November,,Desember,,Total,
,Volume (Kg),Nilai (US$),Volume (Kg),Nilai (US$),Volume (Kg),Nilai (US$),Volume (Kg),Nilai (US$),Volume (Kg),Nilai (US$),Volume (Kg),Nilai (US$),Volume (Kg),Nilai (US$),Volume (Kg),Nilai (US$),Volume (Kg),Nilai (US$),Volume (Kg),Nilai (US$),Volume (Kg),Nilai (US$),Volume (Kg),Nilai (US$),Volume (Kg),Nilai (US$)
BELAWAN,"12,236,682.00","5,644,297.72","19,466,586.00","8,749,108.81","14,303,055.00","6,471,442.29","12,104,427.00","5,585,384.13","19,929,022.00","8,921,558.31","21,435,725.00","9,691,618.87","15,900,601.00","7,371,833.93","21,217,113.00","9,954,091.41","17,816,855.00","8,394,600.61","17,011,310.00","8,068,956.41","12,987,030.00","6,144,537.76","18,763,833.00","8,712,198.22","203,172,239.00","93,709,628.47"
TELUK BAYUR,0,0,0,0,0,0,0,0,0,0,"472,000.00","201,416.56",0,0,0,0,0,0,0,0,0,0,0,0,"472,000.00","201,416.56"
PANJANG,"25,012,408.00","11,823,958.19","27,336,963.00","12,885,810.53","738,850.00","334,588.30","20,028,800.00","9,615,361.71","1,229,870.00","565,374.46","497,930.00","227,743.22","35,484,900.00","16,740,748.93","487,620.00","235,140.12","497,800.00","235,041.25","25,452,992.00","11,623,771.85","11,820,970.00","5,392,878.17","26,078,362.00","12,691,569.95","174,667,465.00","82,371,986.68"
TANJUNG BALAI KARIMUN,0,0,"75,600.00","74,821.42","32,400.00","32,111.20",0,0,"20,160.00","20,782.06",0,0,"44,400.00","46,102.86","66,000.00","68,083.21",0,0,"49,200.00","50,826.51",0,0,"56,400.00","56,478.29","344,160.00","349,205.55"
BATU AMPAR,"375,000.00","202,241.85","650,000.00","399,538.30","625,000.00","354,283.45","500,000.00","241,011.86","700,000.00","287,320.93","300,000.00","179,569.51","625,000.00","327,544.00","500,000.00","248,803.26","325,000.00","164,110.24","300,000.00","171,231.75","91,500.00","35,263.60","619,000.00","348,019.00","5,610,500.00","2,958,937.75"
TANJUNG PRIOK,"44,484,399.00","20,552,821.00","33,224,716.00","14,972,659.70","30,234,474.00","13,605,383.75","28,926,165.00","13,102,239.39","50,573,038.00","23,255,902.22","48,093,643.00","22,127,501.11","47,212,847.00","21,681,930.95","38,607,244.00","18,142,710.09","47,840,757.00","22,422,837.70","36,592,625.00","17,074,965.75","36,176,364.00","16,804,127.54","49,457,987.00","22,660,350.61","491,424,259.00","226,403,429.81"
SOEKARNO-HATTA (U),2,17,"475,556.00","227,333.78","1,001.00","3,011.08",0,0,"468,979.00","215,228.53",1,34,4,139,"2,003.00","6,174.82",0,0,1,17,4,35,"752,620.00","337,673.37","1,700,171.00","789,663.58"
TANJUNG EMAS,"47,053,883.00","21,527,207.71","78,043,557.00","36,859,674.93","40,654,990.00","18,221,371.57","22,281,700.00","10,119,831.73","37,510,694.00","17,427,278.01","33,589,820.00","15,037,578.21","54,616,151.00","25,671,264.82","37,059,277.00","17,474,788.78","49,180,923.00","23,023,394.64","45,804,881.00","21,327,204.62","29,026,689.00","13,647,788.81","50,442,974.00","23,385,638.67","525,265,539.00","243,723,022.50"
GRESIK,"78,901,396.00","36,720,908.90","55,855,882.00","25,511,589.64","22,202,652.00","10,081,748.62","94,128,485.00","44,741,734.52","33,594,914.00","15,113,340.39","64,152,976.00","29,287,641.18","50,686,639.00","23,707,561.72","67,699,052.00","32,014,994.95","57,836,293.00","27,047,066.63","33,344,921.00","15,501,870.61","69,047,394.00","32,086,795.28","72,372,116.00","33,816,803.04","699,822,720.00","325,632,055.48"
TANJUNG PERAK,"5,650,519.00","2,509,132.72","11,467,815.00","5,085,424.55","3,531,572.00","1,568,300.91","5,232,531.00","2,388,799.74","7,384,766.00","3,388,242.60","14,394,171.00","6,503,610.46","14,013,380.00","6,406,153.81","5,831,540.00","2,701,805.27","21,352,090.00","9,877,623.38","5,251,180.00","2,404,410.89","5,499,520.00","2,542,484.97","2,048,600.00","943,835.26","101,657,684.00","46,319,824.56"
JUANDA (U)-SURABAYA,0,0,0,0,0,0,0,0,1,44,0,0,0,0,0,0,0,0,0,0,0,0,1,59,2,103
CIGADING,"46,889,396.00","22,024,386.61","52,009,033.00","24,599,398.69",0,0,"22,000,000.00","10,635,900.00",0,0,"37,000,000.00","17,115,720.00",0,0,"32,000,000.00","15,109,520.00","35,000,000.00","16,221,330.00","42,000,000.00","19,385,760.00","14,000,000.00","6,334,460.00","28,000,000.00","13,690,080.00","308,898,429.00","145,116,555.30"
CIGADING,0,0,0,0,0,0,0,0,"20,525,230.00","8,486,977.35",0,0,0,0,"18,699,025.00","8,181,775.70",0,0,0,0,0,0,0,0,"39,224,255.00","16,668,753.05"
SUPADIO (U),"419,082.00","201,129.90","235,399.00","114,691.10","337,999.00","162,942.55","391,009.00","180,321.38","657,947.00","327,646.18","1,472,920.00","709,963.21","209,629.00","103,022.17","853,606.00","420,720.14","715,501.00","356,153.20","262,673.00","132,418.71","392,079.00","196,541.36",0,0,"5,947,844.00","2,905,549.90"
Total,"261,022,767.00","121,206,101.60","278,841,107.00","129,480,051.45","112,661,993.00","50,835,183.72","205,593,117.00","96,610,584.46","172,594,621.00","78,009,695.04","221,409,186.00","101,082,396.33","218,793,551.00","102,056,302.19","223,022,480.00","104,558,607.75","230,565,219.00","107,742,157.65","206,069,783.00","95,741,434.10","179,041,550.00","83,184,912.49","248,591,893.00","116,642,705.41","2,558,207,267.00","1,187,150,132.19"
