"Volume Impor Menurut Pelabuhan Utama (Berat bersih: ribu ton), 2017-2024",,,,,,,,,
,,,,,,,,,
Provinsi,Pelabuhan Utama,2017 1,2018 1,2019 1,2020 1,2021 1,2022 1,2023 1,2024 1
Sumatera Utara,Belawan,"6,597.00","6,700.20","5,785.20","5,337.50","5,757.70","5,931.70","6,282.90","6,677.90"
Sumatera Selatan,Musi River/Boom Baru,"1,175.20","1,063.90","1,060.70","1,201.30","1,124.70","1,033.20",891,"1,254.90"
Lampung,"Panjang (Lampung, Sumatra)","2,686.50","2,607.40","1,936.20","1,820.50","2,064.20","1,958.70","2,117.30","2,495.90"
Kepulauan Riau,Batu Ampar,"1,297.90","1,600.30","1,816.10","1,825.50","1,733.50","2,117.40","2,486.20","2,640.50"
Kepulauan Riau,Sekupang,409.3,501.1,616.3,250.2,324.7,420.2,565.3,481.8
Kepulauan Riau,Tanjung Balai Karimun,"1,563.20","1,888.10","1,347.30","2,493.10","2,924.00","1,481.00","3,014.10","1,829.30"
Kepulauan Riau,Tanjung Uban,"1,807.40","2,159.00","2,034.50","2,117.50","2,120.80","1,944.00",911,607
Sumatera Lainnya,,"8,841.70","9,800.90","11,318.50","7,479.60","7,678.70","8,516.50","11,213.30","12,385.90"
,,,,,,,,,
DKI Jakarta,Tanjung Priok,"36,646.80","39,383.80","37,541.10","30,995.20","34,463.40","37,330.00","37,297.70","41,655.60"
DKI Jakarta,Cengkareng / Sukarno Hatta (U),183.6,206.9,163.5,139.1,181.1,185.6,124.7,163.6
Jawa Tengah,Tanjung Emas,"4,135.30","4,466.20","4,388.20","4,195.10","4,698.30","4,795.50","5,474.80","6,110.80"
Jawa Tengah,Cilacap,"10,903.20","10,853.70","8,764.50","7,312.10","8,803.40","9,201.20","10,516.30","10,548.80"
Jawa Timur,Tanjung Perak,"18,113.60","19,902.70","19,488.00","17,769.90","18,871.00","18,457.40","19,183.60","22,666.30"
Banten,Merak,"8,508.80","8,187.20","8,797.20","11,371.60","10,952.00","9,555.90","9,845.80","10,807.90"
Banten,Cigading,"14,465.20","13,704.90","13,808.80","13,715.70","15,234.30","13,428.80","12,946.70","13,037.60"
Jawa Lainnya,,"25,546.10","26,827.20","25,078.00","23,344.40","27,534.00","29,224.20","27,742.80","29,517.60"
,,,,,,,,,
Bali,Denpasar / Ngurah Rai (U),3.2,2.9,6.7,2.1,1,2.2,2.9,4
Nusa Tenggara Barat,Benete,24.1,15.5,27.3,17.8,12.4,19.1,84.6,93.9
Nusa Tenggara Timur,Tenau,83.4,139.5,130.1,29,43.2,0,50.4,63.8
Nusa Tenggara Timur,Waingapu,0,0.4,0,0,30,30,50,71.5
Bali dan Nusa Tenggara Lainnya,,83,128.4,77.5,173.9,88,109.7,57.8,80.2
,,,,,,,,,
Kalimantan Selatan,Kotabaru,"1,607.90","1,337.40","1,173.00",951.5,612.1,878.9,"1,211.80","1,897.40"
Kalimantan Timur,Balikpapan,"5,362.20","5,148.20","2,201.20","2,029.10","2,594.10","4,191.00","5,844.90","5,162.70"
Kalimantan Timur,Balikpapan /Sepinggan (U),6.2,13.1,11.1,6.5,212.6,173.7,8.3,16.8
Kalimantan Timur,"Tanjung Bara, Kl",311.1,441.8,479.3,262.8,379.8,423.9,469.7,371.8
Kalimantan Lainnya,,"2,451.80","2,734.60","1,622.20","1,221.80","1,039.70","1,471.30","2,038.70","3,681.30"
,,,,,,,,,
Sulawesi Tengah,Morowali,"1,216.00","3,499.10",850.6,263.8,"16,822.80","18,924.10","22,712.10","29,339.10"
Sulawesi Tengah,Kolonodale,0,"2,744.80","3,757.60","7,736.70",131.9,619.6,"1,050.00","1,499.70"
Sulawesi Selatan,Makassar,943,"1,834.90","1,932.70","1,467.20","1,340.10","1,659.50","1,972.60","2,191.30"
Sulawesi Tenggara,Kendari,952.3,415.2,"2,363.90","2,502.40","5,408.30","3,885.30","3,865.20","3,526.60"
Sulawesi Tenggara,Bau-Bau,590.2,611,355.3,368.6,300.5,370.9,848,889.9
Sulawesi Lainnya,,"3,056.00",992.5,"2,022.30","1,549.70","1,191.90",441.9,661,"5,831.80"
,,,,,,,,,
Maluku,Ambon,565.8,662.5,266.2,253.4,239.1,182.1,379.8,626
Maluku Utara,Weda,0,0,0,620.2,"1,397.90","2,564.20","3,082.60","10,478.60"
Maluku Utara,Obi Island,219.2,384.3,647.2,675.2,728.9,"1,026.80",503.2,"2,347.90"
Papua,"Amamapare, Ij",165.4,280.5,237.3,176.7,254.1,254.9,202.4,221.3
Maluku dan Papua Lainnya ,,227.7,479.2,523.1,203.3,465.1,425,"2,262.80",757.5
,,,,,,,,,
Jumlah,,"160,749.30","171,719.30","162,628.70","151,880.00","177,759.30","183,235.40","197,972.30","232,034.40"
Catatan:,1 Termasuk Kawasan Berikat,,,,,,,,
,2 Pelabuhan Udara,,,,,,,,
