periode_t,bulan,impor_USA_ton,impor_Kanada_ton,impor_Argentina_ton,impor_Brazil_ton,impor_Malaysia_ton,impor_Bolivia_ton,impor_Uruguay_ton,total_masuk_ton,total_keluar_ton,kapasitas_ton,utilisasi_persen
1,Jan,0.0,9385.7,0.0,0.0,23.0,0.0,0.0,9408.6,9408.6,12000.0,78.41
2,Feb,7334.0,0.0,0.0,0.0,0.0,0.0,0.0,7334.0,7334.0,24922.9,29.43
3,Mar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
4,Apr,7557.8,0.0,0.0,0.0,0.0,0.0,0.0,7557.8,7557.8,24000.0,31.49
5,Mei,7651.0,0.0,0.0,0.0,0.0,0.0,0.0,7651.0,7651.0,18000.0,42.51
6,Jun,7308.9,1518.0,0.0,0.0,0.0,0.0,0.0,8827.0,8827.0,18000.0,49.04
7,Jul,7746.5,0.0,0.0,0.0,0.0,0.0,0.0,7746.5,7746.5,21000.0,36.89
8,Agu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
9,Sep,7287.1,0.0,0.0,0.0,0.0,0.0,0.0,7287.1,7287.1,26555.5,27.44
10,Okt,6741.4,4360.2,0.0,0.0,898.4,0.0,0.0,12000.0,12000.0,12000.0,100.00
11,Nov,7307.7,0.0,0.0,0.0,0.0,0.0,0.0,7307.7,7307.7,17246.1,42.37
12,Des,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
