periode_t,bulan,impor_USA_ton,impor_Kanada_ton,impor_Brazil_ton,total_masuk_ton,total_keluar_ton,kapasitas_ton,utilisasi_persen
1,Jan,0.0,0.0,0.0,0.0,0.0,750.0,0.00
2,Feb,681.4,0.0,0.0,681.4,681.4,750.0,90.85
3,Mar,495.9,0.0,0.0,495.9,495.9,750.0,66.12
4,Apr,1017.7,0.0,0.0,1017.7,1017.7,1526.5,66.67
5,Mei,418.6,0.0,0.0,418.6,418.6,986.9,42.42
6,Jun,1198.4,0.0,0.0,1198.4,1198.4,2209.4,54.24
7,Jul,338.5,0.0,0.0,338.5,338.5,750.0,45.14
8,Agu,1015.4,0.0,0.0,1015.4,1015.4,1280.4,79.30
9,Sep,1198.3,0.0,0.0,1198.3,1198.3,1797.5,66.67
10,Okt,655.2,0.0,0.0,655.2,655.2,750.0,87.36
11,Nov,0.0,0.0,0.0,0.0,0.0,750.0,0.00
12,Des,235.1,0.0,0.0,235.1,235.1,750.0,31.35
