periode_t,bulan,produsen_asal,volume_ton
3,Mar,Riau,37.1
10,Okt,Riau,37.1
3,Mar,Jambi,234.1
10,Okt,Jambi,243.4
3,Mar,Lampung,158.2
10,Okt,Lampung,158.2
7,Jul,Jawa Barat,929.2
5,Mei,Jawa Tengah,61.9
3,Mar,DI Yogyakarta,546.2
7,Jul,DI Yogyakarta,455.1
10,Okt,DI Yogyakarta,546.2
4,Apr,Jawa Timur,1709.0
5,Mei,Jawa Timur,1703.9
6,Jun,Jawa Timur,1709.4
8,Agu,Jawa Timur,1765.8
9,Sep,Jawa Timur,1708.9
3,Mar,Bali,243.7
10,Okt,Bali,243.7
11,Nov,Nusa Tenggara Barat,24.3
7,Jul,Kalimantan Selatan,382.2
3,Mar,Sulawesi Tenggara,538.8
10,Okt,Sulawesi Tenggara,529.6
3,Mar,Maluku Utara,7.8
10,Okt,Maluku Utara,7.8
