periode_t,bulan,demand_ton,lokal_ton,impor_ton,transfer_masuk_ton,transfer_keluar_ton,total_pasokan_ton,inventori_ton,shortage_ton,service_rate
1,Jan,297.8,2.2,358.2,0.0,0.0,360.3,62.5,0.0,1.0000
2,Feb,279.1,3.0,277.0,0.0,0.0,280.0,63.4,0.0,1.0000
3,Mar,297.8,7.8,386.7,0.0,0.0,394.5,160.2,0.0,1.0000
4,Apr,289.5,15.5,414.5,0.0,0.0,430.0,300.7,0.0,1.0000
5,Mei,298.7,16.8,322.4,0.0,0.0,339.2,341.2,0.0,1.0000
6,Jun,289.2,9.9,465.1,0.0,0.0,475.1,527.1,0.0,1.0000
7,Jul,298.5,6.5,344.6,0.0,0.0,351.0,579.6,0.0,1.0000
8,Agu,298.6,12.1,318.9,0.0,0.0,331.0,612.0,0.0,1.0000
9,Sep,289.2,13.4,499.2,0.0,0.0,512.5,835.4,0.0,1.0000
10,Okt,298.3,7.8,338.9,0.0,0.0,346.7,883.7,0.0,1.0000
11,Nov,288.9,4.3,256.3,0.0,0.0,260.6,855.4,0.0,1.0000
12,Des,291.1,4.3,162.5,0.0,0.0,166.9,731.2,0.0,1.0000
