province,demand_ton,local_supply_ton,import_received_ton,transfer_in_ton,transfer_out_ton,total_supply_ton,shortage_ton,service_rate,avg_inventory_ton,months_safe_stock
Aceh,346.8,346.8,0.0,0.0,0.0,346.8,0.0,1.0000,0.0,0
Sumatera Utara,272.5,272.5,0.0,0.0,0.0,272.5,0.0,1.0000,0.0,0
Sumatera Barat,32.7,32.7,0.0,0.0,0.0,32.7,0.0,1.0000,0.0,0
Riau,121795.1,109261.2,18137.0,0.0,0.0,127398.2,0.0,1.0000,4862.5,0
Jambi,20855.4,13981.8,8074.7,0.0,0.0,22056.5,0.0,1.0000,1025.7,0
Sumatera Selatan,64050.5,40357.1,27387.1,0.0,0.0,67744.2,0.0,1.0000,3156.2,0
Bengkulu,69620.8,29973.0,43659.1,0.0,0.0,73632.1,0.0,1.0000,3427.1,0
Lampung,75191.0,23738.2,55029.0,0.0,0.0,78767.3,0.0,1.0000,3576.2,0
Kep. Bangka Belitung,6732.5,1673.9,5483.0,0.0,0.0,7156.9,0.0,1.0000,352.6,0
Kepulauan Riau,14138.8,3515.4,12165.9,0.0,0.0,15681.3,0.0,1.0000,376.5,1
DKI Jakarta,223163.8,13713.7,211283.3,0.0,0.0,224997.0,0.0,1.0000,1833.2,0
Jawa Barat,395766.7,750.2,399006.8,0.0,0.0,399757.0,0.0,1.0000,3990.4,0
Jawa Tengah,361885.8,1292.3,372139.3,0.0,0.0,373431.7,0.0,1.0000,10977.1,0
DI Yogyakarta,81421.8,0.0,82845.1,0.0,0.0,82845.1,0.0,1.0000,1295.6,0
Jawa Timur,692927.6,1451.2,717719.6,0.0,0.0,719170.8,0.0,1.0000,15672.7,0
Banten,94308.0,38.5,105085.7,0.0,0.0,105124.2,0.0,1.0000,9809.4,12
Bali,28953.9,67.7,37305.8,0.0,0.0,37373.5,0.0,1.0000,6232.2,12
Nusa Tenggara Barat,39918.4,202.6,51175.0,0.0,0.0,51377.7,0.0,1.0000,8440.7,12
Nusa Tenggara Timur,2883.1,21.1,3488.2,0.0,0.0,3509.3,0.0,1.0000,529.2,12
Kalimantan Barat,14686.7,0.0,17584.9,0.0,0.0,17584.9,0.0,1.0000,2417.5,12
Kalimantan Tengah,14924.6,0.0,15459.3,0.0,0.0,15459.3,0.0,1.0000,306.7,0
Kalimantan Selatan,62.3,6.9,65.8,0.0,0.0,72.7,0.0,1.0000,9.7,12
Kalimantan Timur,46670.0,0.0,53969.4,0.0,0.0,53969.4,0.0,1.0000,6586.6,12
Kalimantan Utara,2989.6,0.0,3487.9,0.0,0.0,3487.9,0.0,1.0000,506.6,12
Sulawesi Utara,218.3,0.0,245.0,0.0,0.0,245.0,0.0,1.0000,28.3,12
Sulawesi Tengah,148.8,6.7,174.4,0.0,0.0,181.1,0.0,1.0000,30.4,12
Sulawesi Selatan,144.7,4.9,162.3,0.0,0.0,167.2,0.0,1.0000,21.4,12
Sulawesi Tenggara,10971.1,230.3,12680.4,0.0,0.0,12910.7,0.0,1.0000,1831.1,12
Gorontalo,4681.2,32.3,5307.0,0.0,0.0,5339.2,0.0,1.0000,690.9,12
Sulawesi Barat,16054.5,10.7,16599.9,0.0,0.0,16610.5,0.0,1.0000,333.6,0
Maluku,22.9,1.2,25.5,0.0,0.0,26.7,0.0,1.0000,2.7,3
Maluku Utara,3234.7,0.0,3266.9,0.0,0.0,3266.9,0.0,1.0000,16.2,0
Papua Barat,59.5,0.0,69.4,0.0,0.0,69.4,0.0,1.0000,11.9,12
Papua Barat Daya,23.8,0.0,27.8,0.0,0.0,27.8,0.0,1.0000,4.8,12
Papua,35.3,0.0,41.2,0.0,0.0,41.2,0.0,1.0000,7.0,12
Papua Selatan,7.1,0.0,8.4,0.0,0.0,8.4,0.0,1.0000,1.5,12
Papua Tengah,7.1,0.0,8.2,0.0,0.0,8.2,0.0,1.0000,1.4,12
Papua Pegunungan,126.3,0.0,153.5,0.0,0.0,153.5,0.0,1.0000,24.6,12
